window_start,reconstruction_mse,is_reconstruction_anomaly,split,return_temp_c_reconstruction_mse,is_return_temp_c_channel_anomaly,dominant_anomalous_feature
2024-06-27 18:45:00,0.015262939,False,train,0.015262939,False,return_temp_c
2024-06-28 06:45:00,0.022813357,False,train,0.022813357,False,return_temp_c
2024-06-28 18:45:00,0.018116677,False,train,0.018116677,False,return_temp_c
2024-06-29 06:45:00,0.024091356,False,train,0.024091356,False,return_temp_c
2024-06-29 18:45:00,0.016447274,False,train,0.016447274,False,return_temp_c
2024-06-30 06:45:00,0.016635593,False,train,0.016635593,False,return_temp_c
2024-06-30 18:45:00,0.010057576,False,train,0.010057576,False,return_temp_c
2024-07-01 06:45:00,0.007019391,False,train,0.007019391,False,return_temp_c
2024-07-01 18:45:00,0.015079702,False,train,0.015079702,False,return_temp_c
2024-07-02 06:45:00,0.009798679,False,train,0.009798679,False,return_temp_c
2024-07-02 18:45:00,0.023858896,False,train,0.023858896,False,return_temp_c
2024-07-03 06:45:00,0.01897682,False,train,0.01897682,False,return_temp_c
2024-07-03 18:45:00,0.024420643,False,train,0.024420643,False,return_temp_c
2024-07-04 06:45:00,0.019648446,False,train,0.019648446,False,return_temp_c
2024-07-04 18:45:00,0.010632397,False,train,0.010632397,False,return_temp_c
2024-07-05 06:45:00,0.011828204,False,train,0.011828204,False,return_temp_c
2024-07-05 18:45:00,0.009249265,False,train,0.009249265,False,return_temp_c
2024-07-06 06:45:00,0.013832065,False,train,0.013832065,False,return_temp_c
2024-07-06 18:45:00,0.01956389,False,train,0.01956389,False,return_temp_c
2024-07-07 06:45:00,0.028552508,False,train,0.028552508,False,return_temp_c
2024-07-07 18:45:00,0.02415227,False,train,0.02415227,False,return_temp_c
2024-07-08 06:45:00,0.026599936,False,train,0.026599936,False,return_temp_c
2024-07-08 18:45:00,0.007678129,False,train,0.007678129,False,return_temp_c
2024-07-09 06:45:00,0.008012484,False,train,0.008012484,False,return_temp_c
